,rank,sum_expose,sum_click,ctr
171,708,1976,9,0.004554655870445
854,709,1976,4,0.0020242914979750003
519,710,1976,4,0.0020242914979750003
1102,711,1975,4,0.002025316455696
655,712,1975,6,0.003037974683544
134,713,1975,4,0.002025316455696
803,714,1975,4,0.002025316455696
527,715,1971,3,0.00152207001522
1836,716,1971,3,0.00152207001522
1666,717,1971,2,0.00101471334348
1448,718,1971,2,0.00101471334348
317,719,1971,2,0.00101471334348
1254,720,1971,6,0.0030441400304410003
281,721,1966,5,0.002543234994913
1241,722,1965,4,0.002035623409669
1059,723,1845,2,0.0010840108401080001
713,724,1845,9,0.004878048780487
68,725,1845,7,0.0037940379403790005
829,726,1844,4,0.002169197396963
465,727,1844,7,0.0037960954446850004
1910,728,1844,3,0.001626898047722
1619,729,1843,8,0.004340748779164
1578,730,1841,4,0.002172732210755
589,731,1841,8,0.00434546442151
1926,732,1837,5,0.002721829069134
1703,733,1837,3,0.0016330974414800001
1496,734,1837,3,0.0016330974414800001
286,735,1837,8,0.004354926510615
1315,736,1837,9,0.004899292324442001
1092,737,1831,9,0.004915346805024001
627,738,1831,2,0.0010922992900050002
32,739,1831,2,0.0010922992900050002
819,740,1831,5,0.0027307482250130003
1527,741,1828,3,0.0016411378555790002
268,742,1827,8,0.004378762999452
1303,743,1719,2,0.001163467132053
1081,744,1719,6,0.0034904013961600004
734,745,1717,2,0.001164822364589
112,746,1716,5,0.002913752913752
880,747,1716,9,0.005244755244755
403,748,1716,5,0.002913752913752
1900,749,1716,5,0.002913752913752
1708,750,1716,2,0.001165501165501
855,751,1716,2,0.001165501165501
520,752,1715,1,0.0005830903790087463
1984,753,1715,3,0.001749271137026
1661,754,1715,3,0.001749271137026
1562,755,1715,1,0.0005830903790087463
